country,region,year,birthrate,businesstaxrate,co2emissions,daystostartbusiness,easeofbusiness,energyusage,gdp,gdppercapita,healthexpgdp,healthexpcapita,hourstodotax,infantmortalityrate,internetusage,lendinginterest,lifeexpectancy,lifeexpectancyfemale,lifeexpectancymale,mobilephoneusage,numberofrecords,population0-14,population15-64,population65+,populationtotal,populationurban,tourisminbound,tourismoutbound
Algeria,Africa,12/1/2000,0.02,,87931,,,26998,$55B,"$1,727 ",3.50%,$60 ,,0.034,0.01,0.1,69,71,67,0%,1,0.342,0.619,0.039,31.7M,59.90%,$0B,$0B
Angola,Africa,12/1/2000,0.05,,9542,,,7499,$9B,$656 ,3.40%,$22 ,,0.128,0.00,1.032,46,47,44,0%,1,0.476,0.499,0.025,13.9M,32.40%,$0B,$0B
Benin,Africa,12/1/2000,0.04,,1617,,,1983,$2B,$339 ,4.30%,$15 ,,0.09,0.00,,55,57,53,1%,1,0.454,0.517,0.029,6.9M,38.30%,$0B,$0B
Botswana,Africa,12/1/2000,0.03,,4276,,,1836,$6B,"$3,297 ",4.70%,$152 ,,0.054,0.03,0.155,51,52,49,13%,1,0.383,0.587,0.029,1.8M,53.20%,$0B,$0B
Burkina Faso,Africa,12/1/2000,0.05,,1041,,,,$3B,$225 ,5.10%,$12 ,,0.096,0.00,,51,52,49,0%,1,0.468,0.505,0.028,11.6M,17.80%,$0B,$0B
Burundi,Africa,12/1/2000,0.04,,301,,,,$1B,$130 ,6.30%,$7 ,,0.092,0.00,0.158,48,49,47,0%,1,0.49,0.481,0.029,6.7M,8.20%,$0B,$0B
Cameroon,Africa,12/1/2000,0.04,,3432,,,6310,$9B,$583 ,4.40%,$26 ,,0.093,0.00,0.22,52,53,51,1%,1,0.453,0.513,0.034,15.9M,45.50%,$0B,$0B
Central African Republic,Africa,12/1/2000,0.04,,268,,,,$1B,$251 ,4.30%,$11 ,,0.113,0.00,0.22,44,45,42,0%,1,0.423,0.537,0.04,3.6M,37.60%,$0B,$0B
Chad,Africa,12/1/2000,0.05,,176,,,,$1B,$167 ,6.30%,$10 ,,0.106,0.00,0.22,47,48,46,0%,1,0.49,0.482,0.028,8.3M,21.60%,$0B,$0B
Comoros,Africa,12/1/2000,0.04,,84,,,,$0B,$382 ,3.50%,$13 ,,0.073,0.00,0.12,58,59,56,,1,0.415,0.554,0.031,0.5M,28.10%,$0B,
Congo (Kinshasa),Africa,12/1/2000,0.05,,1646,,,16679,$19B,$407 ,4.80%,$14 ,,0.115,0.00,,47,48,45,0%,1,0.464,0.507,0.028,46.9M,35.10%,,
Congo (Brazzaville),Africa,12/1/2000,0.04,,1049,,,814,$3B,"$1,030 ",2.10%,$22 ,,0.077,0.00,0.22,52,53,51,2%,1,0.419,0.545,0.036,3.1M,58.70%,$0B,$0B
Cote d'Ivoire,Africa,12/1/2000,0.04,,6791,,,6734,$10B,$646 ,6.50%,$42 ,,0.1,0.00,,47,47,46,3%,1,0.421,0.55,0.029,16.1M,43.50%,$0B,$0B
Djibouti,Africa,12/1/2000,0.03,,403,,,,$1B,$763 ,5.80%,$44 ,,0.08,0.00,,57,59,55,0%,1,0.414,0.556,0.03,0.7M,76.50%,$0B,$0B
Egypt,Africa,12/1/2000,0.03,,141326,,,40658,$100B,"$1,510 ",5.40%,$79 ,,0.036,0.01,0.132,69,71,66,2%,1,0.354,0.592,0.053,66.1M,42.80%,$5B,$1B
Equatorial Guinea,Africa,12/1/2000,0.04,,455,,,,$1B,"$2,019 ",2.40%,$57 ,,0.099,0.00,0.22,48,49,46,1%,1,0.426,0.537,0.037,0.5M,38.80%,$0B,$0B
Eritrea,Africa,12/1/2000,0.04,,609,,,708,$1B,$179 ,4.50%,$7 ,,0.058,0.00,,56,58,54,,1,0.47,0.512,0.018,3.9M,17.60%,$0B,
Ethiopia,Africa,12/1/2000,0.04,,5831,,,25242,$8B,$123 ,4.30%,$5 ,,0.09,0.00,0.109,52,53,51,0%,1,0.466,0.503,0.031,66.0M,14.70%,$0B,$0B
Gabon,Africa,12/1/2000,0.03,,1052,,,1463,$5B,"$4,135 ",2.90%,$118 ,,0.056,0.01,0.22,60,61,59,10%,1,0.406,0.535,0.059,1.2M,80.10%,$0B,$0B
"Gambia, The",Africa,12/1/2000,0.05,,275,,,,$1B,$637 ,4.50%,$29 ,,0.063,0.01,0.24,55,56,54,1%,1,0.459,0.514,0.027,1.2M,47.90%,,
Ghana,Africa,12/1/2000,0.04,,6289,,,7736,$5B,$265 ,4.80%,$13 ,,0.065,0.00,,57,58,56,1%,1,0.414,0.556,0.03,18.8M,43.90%,$0B,$0B
Guinea,Africa,12/1/2000,0.04,,1280,,,,$3B,$342 ,5.60%,$19 ,,0.103,0.00,0.194,51,51,51,1%,1,0.44,0.525,0.034,8.7M,31.00%,$0B,$0B
Guinea-Bissau,Africa,12/1/2000,0.04,,147,,,,$0B,$284 ,4.90%,$16 ,,0.109,0.00,,52,53,50,,1,0.435,0.534,0.031,1.3M,36.70%,,
Kenya,Africa,12/1/2000,0.04,,10418,,,14055,$13B,$406 ,4.70%,$19 ,,0.069,0.00,0.223,53,54,52,0%,1,0.442,0.531,0.028,31.3M,19.90%,$1B,$0B
Lesotho,Africa,12/1/2000,0.03,,,,,,$1B,$415 ,6.90%,$29 ,,0.081,0.00,0.171,48,48,47,1%,1,0.412,0.543,0.045,1.9M,19.50%,$0B,$0B
Liberia,Africa,12/1/2000,0.04,,436,,,,$1B,$183 ,5.90%,$11 ,,0.119,0.00,0.205,53,53,52,0%,1,0.432,0.537,0.031,2.9M,44.30%,,
Libya,Africa,12/1/2000,0.02,,47114,,,15901,$34B,"$6,549 ",3.40%,$252 ,,0.024,0.00,0.07,72,74,70,1%,1,0.333,0.628,0.039,5.2M,76.30%,$0B,$0B
Madagascar,Africa,12/1/2000,0.04,,1874,,,,$4B,$246 ,5.00%,$12 ,,0.071,0.00,0.265,59,60,57,0%,1,0.455,0.515,0.03,15.7M,27.10%,$0B,$0B
Malawi,Africa,12/1/2000,0.05,,906,,,,$2B,$154 ,6.10%,$9 ,,0.103,0.00,0.531,46,46,46,0%,1,0.458,0.511,0.031,11.3M,14.60%,$0B,$0B
Mali,Africa,12/1/2000,0.05,,543,,,,$2B,$236 ,6.30%,$16 ,,0.116,0.00,,49,49,49,0%,1,0.461,0.504,0.035,10.3M,28.40%,$0B,$0B
Mauritania,Africa,12/1/2000,0.04,,1236,,,,$1B,$478 ,6.00%,$24 ,,0.076,0.00,0.256,60,61,58,1%,1,0.428,0.54,0.032,2.7M,49.20%,,
Mauritius,Africa,12/1/2000,0.02,,2769,,,,$5B,"$3,861 ",3.70%,$146 ,,0.016,0.07,0.208,72,75,68,15%,1,0.258,0.681,0.061,1.2M,42.70%,$1B,$0B
Morocco,Africa,12/1/2000,0.02,,33905,,,10238,$37B,"$1,289 ",4.20%,$54 ,,0.043,0.01,0.133,69,70,67,8%,1,0.341,0.613,0.047,28.7M,53.30%,$2B,$1B
Mozambique,Africa,12/1/2000,0.04,,1349,,,7173,$4B,$236 ,6.20%,$15 ,,0.114,0.00,0.19,48,49,46,0%,1,0.438,0.53,0.032,18.3M,29.10%,$0B,$0B
Namibia,Africa,12/1/2000,0.03,,1643,,,978,$4B,"$2,059 ",6.10%,$126 ,,0.049,0.02,0.153,55,57,53,4%,1,0.405,0.562,0.033,1.9M,32.40%,$0B,$0B
Niger,Africa,12/1/2000,0.05,,796,,,,$2B,$164 ,6.40%,$10 ,,0.101,0.00,,51,51,51,0%,1,0.479,0.495,0.025,11.0M,16.20%,$0B,$0B
Nigeria,Africa,12/1/2000,0.04,,79182,,,90596,$46B,$378 ,4.60%,$17 ,,0.113,0.00,0.213,47,47,46,0%,1,0.435,0.537,0.028,122.9M,34.80%,$0B,$1B
Rwanda,Africa,12/1/2000,0.04,,686,,,,$2B,$207 ,4.20%,$9 ,,0.108,0.00,0.17,48,49,47,1%,1,0.466,0.505,0.03,8.4M,14.90%,$0B,$0B
Sao Tome and Principe,Africa,12/1/2000,0.04,,48,,,,$0B,$550 ,8.90%,$46 ,,0.058,0.05,0.397,64,65,62,,1,0.44,0.52,0.04,0.1M,53.40%,$0B,$0B
Senegal,Africa,12/1/2000,0.04,,3938,,,2398,$5B,$475 ,4.60%,$22 ,,0.069,0.00,,58,59,56,3%,1,0.451,0.517,0.032,9.9M,40.30%,$0B,$0B
Seychelles,Africa,12/1/2000,0.02,,565,,,,$1B,"$7,579 ",4.80%,$371 ,,0.012,0.07,0.107,,,,33%,1,0.282,0.637,0.081,0.1M,50.10%,$0B,$0B
Sierra Leone,Africa,12/1/2000,0.04,,425,,,,$1B,$154 ,18.40%,$28 ,,0.141,0.00,0.263,38,39,37,0%,1,0.43,0.546,0.025,4.1M,35.60%,$0B,$0B
Somalia,Africa,12/1/2000,0.05,,517,,,,,,,,,0.105,0.00,,51,52,49,1%,1,0.472,0.499,0.029,7.4M,33.20%,,
South Africa,Africa,12/1/2000,0.02,,368611,,,109264,$133B,"$3,023 ",8.30%,$246 ,,0.052,0.05,0.145,56,58,54,19%,1,0.33,0.636,0.034,44.0M,56.90%,$3B,$3B
South Sudan,Africa,12/1/2000,0.04,,,,,,,,,,,0.11,,,49,50,48,,1,0.447,0.523,0.03,6.7M,16.50%,,
Sudan,Africa,12/1/2000,0.04,,5534,,,13340,$12B,$442 ,3.40%,$15 ,,0.069,0.00,,58,60,56,0%,1,0.437,0.533,0.03,27.7M,32.50%,$0B,$0B
Eswatini,Africa,12/1/2000,0.03,,1188,,,,$2B,"$1,433 ",5.30%,$75 ,,0.08,0.01,0.14,49,49,48,3%,1,0.446,0.524,0.029,1.1M,22.70%,$0B,$0B
Tanzania,Africa,12/1/2000,0.04,,2651,,,13390,$10B,$299 ,3.40%,$10 ,,0.08,0.00,0.216,50,51,49,0%,1,0.448,0.523,0.029,34.0M,22.30%,$0B,$0B
Togo,Africa,12/1/2000,0.04,,1357,,,2111,$1B,$266 ,5.30%,$14 ,,0.077,0.01,,54,54,53,1%,1,0.442,0.529,0.029,4.9M,32.90%,$0B,$0B
Tunisia,Africa,12/1/2000,0.02,,19923,,,7306,$21B,"$2,245 ",5.40%,$123 ,,0.026,0.03,,73,75,71,1%,1,0.298,0.641,0.06,9.6M,63.40%,$2B,$0B
Uganda,Africa,12/1/2000,0.05,,1533,,,,$6B,$255 ,6.60%,$16 ,,0.089,0.00,0.229,48,48,48,1%,1,0.493,0.481,0.027,24.3M,12.10%,$0B,
Zambia,Africa,12/1/2000,0.05,,1819,,,6244,$3B,$322 ,5.60%,$18 ,,0.1,0.00,0.388,42,42,42,1%,1,0.457,0.515,0.027,10.1M,34.80%,$0B,$0B
Zimbabwe,Africa,12/1/2000,0.03,,13887,,,9865,$7B,$535 ,,,,0.061,0.00,0.682,44,44,44,2%,1,0.422,0.545,0.034,12.5M,33.80%,$0B,
Afghanistan,Asia,12/1/2000,0.05,,781,,,,,,,,,0.095,,,55,56,54,,1,0.495,0.485,0.02,20.6M,21.30%,,
